ID,ACCESS,AUTHOR_NAME,CONTACT_EMAIL,CONTACT_NAME,DATA_DICTIONARY,DATA_DICTIONARY_TYPE,DATA_STANDARD,DESCRIPTION,FREQUENCY,GRANULARITY,HOMEPAGE,LANGUAGE,LICENSE,RELEASED_DATE,MODIFIED_DATE,PUBLISHER,RELATED_CONTENT,SPATIAL_COVERAGE_AREA,SPATIAL_COVERAGE_LOCATION,TAGS,TEMPORAL_COVERAGE_END,TEMPORAL_COVERAGE_START,TITLE,TOPICS
346,public,Environment Yukon - Government of Yukon,mailto:Geomatics.Help@yukon.ca,Geomatics Yukon,Places,,," Wildlife Key Areas (WKA) are locations used by wildlife for critical, seasonal life functions. WKAs are identified by interpreting observed locations of wildlife at key times of year, not through intensive habitat assessment. Polygons derived from interviews with locals and from GIS interpretation of wildlife/habitat surveys. GIS interpretation follows criteria specific for taxon and/or populations of taxon. Key Areas are based on observed locations of wildlife at key times of year, not on habitat assessment. With new information, boundaries and designations of Key Areas can change and additional Key Areas can be identified. Furthermore, Key Areas are not the only sites important for wildlife. Other information sources can identify other sites important for wildlife for reasons outside the scope of the WKA Inventory Program. Updates to Key Areas occur only periodically. For the most current information, please consult with the Regional Biologist for your area of interest. If you have questions or would like to contribute to the WKA database, please contact the WKA Inventory Program (<a href='mailto:wka@yukon.ca' rel='nofollow ugc'> wka@yukon.ca</a> ).<br><br> Distributed from <a target='_blank' href='https://mapservices.gov.yk.ca/GeoYukon/' rel='nofollow ugc noopener noreferrer'> GeoYukon</a>  by the <a target='_blank' href='https://yukon.ca/' rel='nofollow ugc noopener noreferrer'> Government of Yukon</a> . Discover more digital map data and interactive maps from Yukon's digital map data collection.<br><br> For more information: <a href='mailto:geomatics.help@yukon.ca' rel='nofollow ugc'> geomatics.help@yukon.ca</a><br><br>",As Needed,,https://yukon.maps.arcgis.com/home/item.html?id=009a97fb704c4753a26992a145049fd4,,ogly,2016-06-10T18:50:55.000Z,2025-07-11T20:03:16.000Z,Geomatics Yukon,https://yukon.maps.arcgis.com/sharing/rest/content/items/009a97fb704c4753a26992a145049fd4/info/metadata/metadata.xml,"-142.6602,58.7706,-119.9493,70.2602",Yukon,"Key,WKA,Habitat,Wildlife,Wildlife Key Area,Data Source,Reference,biota,Yukon,Yukon Territory",,,Beaver and muskrat - wildlife key area - 250k,"Nature and environment,Science and Technology"
254,public,Department of Highways and Public Works - Government of Yukon,mailto:Geomatics.Help@yukon.ca,Geomatics Yukon,Places,,,"  Roadside barriers are physical obstructions to retain vehicles that have left the travelling lane on the road. In the Yukon, the most common barriers are W-beam (also known as guiderail) and concrete roadside barrier (CRB, also known as jersey barrier).<br><br>  Distributed from <a href='https://yukon.ca/geoyukon' style='text-decoration:underline;' rel='nofollow ugc'>  GeoYukon</a>    by the <a href='https://yukon.ca/maps' style='text-decoration:underline;' rel='nofollow ugc'>  Government of Yukon</a>  . Discover more digital map data and interactive maps from Yukon's digital map data collection.<br><br>  For more information: <a href='mailto:geomatics.help@yukon.ca' style='text-decoration:underline;' rel='nofollow ugc'>  geomatics.help@yukon.ca</a><br><br>",As Needed,,https://yukon.maps.arcgis.com/home/item.html?id=013f827d86624cc2b7bf97fb650ee932,,ogly,2021-11-24T18:37:39.000Z,2021-12-01T15:25:34.000Z,Geomatics Yukon,https://yukon.maps.arcgis.com/sharing/rest/content/items/013f827d86624cc2b7bf97fb650ee932/info/metadata/metadata.xml,"-140.1078,59.2850,-127.4117,66.4187",Yukon,"Canada,transportation,Yukon,Yukon Territory,Yukon Canada,roadside safety,barrier,roadside barrier,infrastructure",,,Roadside barriers - 25k,Transport
297,public,"Yukon Geological Survey, Government of Yukon",mailto:Geomatics.Help@yukon.ca,Geomatics Yukon,Places,,,"  The Yukon Geological Survey (YGS) has compiled over 195 surficial geology maps into a standardized GIS format, providing approximately 80% coverage of the territory. The maps range in scales from 1:250,000 to 1:10,000 with spatial overlap between scales. The original maps were produced by various agencies, including the Geological Survey of Canada, YGS, Yukon Government, universities, and the City of Whitehorse.<br><br>  All original feature descriptions have been preserved and also converted to standardized values using the Yukon terrain classification system. The compilation includes 4 GIS datasets and supporting documents available for download via <a href='https://data.geology.gov.yk.ca/Compilation/33' style='text-decoration:underline;' rel='nofollow ugc'>  YGS integrated data system</a>   (YGSIDS) or GeoYukon. A .lyr file is <a href='https://data.geology.gov.yk.ca/Compilation/33' style='text-decoration:underline;' rel='nofollow ugc'>  provided</a>   to symbolize feature classes and differentiate overlapping maps at different scales. Additionally, there is a surficial geology map index.<br><br>  The polygon attributes captured include surficial material, texture, age, surface expression, and geomorphological processes. <br><br>  Line features include geological contacts, glacial limits, glacial landforms (cirques, ar&ecirc;tes, eskers, meltwater channels, moraines), and non-glacial landforms (faults, lineaments, landslides, escarpments).<br><br>  Point features include field station, fossil and sample locations, glacial landforms (erratics, kames, kettles, drumlins, flutings), permafrost features (pingos, palsas, patterned ground, thermokarst depressions), and other non-glacial landforms (landslides, tors).<br><br>  The map index provides information on each map publication such as author, map title, map scale, publisher. <br><br>  These data are valuable for land-use applications in the territory, including: mineral and placer exploration, geotechnical engineering, infrastructure planning, granular resource assessments, permafrost modeling, agricultural assessments, forest management, and biophysical or ecological land classification.<br><br>  Distributed from <a href='https://yukon.ca/geoyukon' style='text-decoration:underline;' rel='nofollow ugc'>  GeoYukon</a>   by the <a href='https://yukon.ca/maps' style='text-decoration:underline;' rel='nofollow ugc'>  Government of Yukon</a>  . Discover more digital map data and interactive maps from Yukon's digital map data collection.<br><br>  For more information:<a href='mailto:geomatics.help@yukon.ca' style='text-decoration:underline;' rel='nofollow ugc'>  geomatics.help@yukon.ca</a><br><br><br><br>",As Needed,,https://yukon.maps.arcgis.com/home/item.html?id=01ecd817f6a94dd6af51c8a2a2edab8b,,ogly,2023-05-29T22:40:08.000Z,2023-09-26T23:27:44.000Z,Geomatics Yukon,https://yukon.maps.arcgis.com/sharing/rest/content/items/01ecd817f6a94dd6af51c8a2a2edab8b/info/metadata/metadata.xml,"-140.4747,59.4938,-120.3652,69.4484",Yukon,"Surficial Geology,Yukon Geological Survey,kilometre post,location,marker,sign,emergency,NG911,911",,,Surficial Geology Polygon 250k,"Government and Politics,Society and culture"
319,public,NRCan - Canada Center for Cadastral Management,mailto:Geomatics.Help@yukon.ca,Geomatics Yukon,Places,,, Surveyed Land Parcel are real property object that represents the spatial extent of a lot or parcel of land against which rights and interests may be registered. Land Parcel with a parcel status of "Active" form the current cadastral fabric.<br><br>  Distributed from <a href='https://yukon.ca/geoyukon' rel='nofollow ugc'>  GeoYukon</a>   by the <a href='https://yukon.ca/maps' rel='nofollow ugc'>  Government of Yukon</a>  . Discover more digital map data and interactive maps from Yukon's digital map data collection.<br><br>  For more information: <a href='mailto:geomatics.help@yukon.ca' rel='nofollow ugc'>  geomatics.help@yukon.ca</a><br><br><br><br>,As Needed,,https://yukon.maps.arcgis.com/home/item.html?id=0281ff57826f4ff0acb932fbb5a165e7,,ogly,2016-06-14T18:37:08.000Z,2023-12-18T18:11:10.000Z,Geomatics Yukon,https://yukon.maps.arcgis.com/sharing/rest/content/items/0281ff57826f4ff0acb932fbb5a165e7/info/metadata/metadata.xml,"-140.8468,59.7230,-120.5993,69.2283",Yukon,"Yukon,Lot,Parcel,Survey,Cadastral,GeoYukon,picnic site,built-up area,well,seaplane base,building,tank,Yukon,historic site,tower,mining area,GeoYukon",,,Land Parcels Polygon - Surveyed,"Nature and environment,Science and Technology"
220,public,"Departmental Library, Energy, Mines & Resources, Government of Yukon",mailto:Geomatics.Help@yukon.ca,Geomatics Yukon,Places,,, Location of flight lines of Yukon aerial photographs. Data was produced from heads up digitization of paper flight line index maps .<br><br>  Distributed from <a href='https://yukon.ca/geoyukon' rel='nofollow ugc'>  GeoYukon</a>   by the <a href='https://yukon.ca/maps' rel='nofollow ugc'>  Government of Yukon</a>  . Discover more digital map data and interactive maps from Yukon's digital map data collection.<br><br>  For more information: <a href='mailto:geomatics.help@yukon.ca' rel='nofollow ugc'>  geomatics.help@yukon.ca</a><br><br>,As Needed,,https://yukon.maps.arcgis.com/home/item.html?id=02e2c9afb5e64f7db4e2cbd1ee36dc92,,ogly,2016-06-14T21:14:51.000Z,2021-01-08T16:48:06.000Z,Geomatics Yukon,https://yukon.maps.arcgis.com/sharing/rest/content/items/02e2c9afb5e64f7db4e2cbd1ee36dc92/info/metadata/metadata.xml,"-140.8012,59.1952,-117.4883,69.2826",Yukon,"aerial,Yukon,flight line,air photo,photographs,GeoYukon",,,Flight Lines 1971 to 1980,"Nature and environment,Science and Technology"
327,public,Geomatics Yukon – Government of Yukon,mailto:Geomatics.Help@yukon.ca,Geomatics Yukon,Places,,, North Yukon Planning Region Land Management Units<br><br>  Distributed from <a href='https://yukon.ca/geoyukon' rel='nofollow ugc' style='text-decoration:underline;'>  GeoYukon</a>   by the <a href='https://yukon.ca/maps' rel='nofollow ugc' style='text-decoration:underline;'>  Government of Yukon</a>  . Discover more digital map data and interactive maps from Yukon's digital map data collection.<br><br>  For more information: <a href='mailto:geomatics.help@yukon.ca' rel='nofollow ugc' style='text-decoration:underline;'>  geomatics.help@yukon.ca</a><br><br>,As Needed,,https://yukon.maps.arcgis.com/home/item.html?id=02ea345bb1964a13952e51092618aff5,,ogly,2016-06-10T20:51:35.000Z,2024-11-05T19:11:30.000Z,Geomatics Yukon,https://yukon.maps.arcgis.com/sharing/rest/content/items/02ea345bb1964a13952e51092618aff5/info/metadata/metadata.xml,"-140.7954,65.3646,-136.2979,68.8329",Yukon,"Yukon,LMU,ecological,boundaries,land use,GeoYukon,ferry route,transportation,cut line,ford,trails,cart track,Yukon,highway,roads,main road,GeoYukon",,,Landscape Management Units - North Yukon Land Use Plan - 250k,Transport
289,public,City of Whitehorse,mailto:Geomatics.Help@yukon.ca,Geomatics Yukon,Places,,, The Roads layer delineates the estimated centreline of the roads within the City of Whitehorse.<br><br> Data was modeled using the NENA NG9-1-1 GIS Data Template (NENA-REF-006. 2 -202 2 ).<br><br>  Distributed from <a href='https://yukon.ca/geoyukon' style='text-decoration:underline;' rel='nofollow ugc'>  GeoYukon</a>   by the <a href='https://yukon.ca/maps' style='text-decoration:underline;' rel='nofollow ugc'>  Government of Yukon</a>  . Discover more digital map data and interactive maps from Yukon's digital map data collection.<br><br>  For more information: <a href='mailto:geomatics.help@yukon.ca' style='text-decoration:underline;' rel='nofollow ugc'>  geomatics.help@yukon.ca</a><br><br>,As Needed,,https://yukon.maps.arcgis.com/home/item.html?id=031c289e8f784788a219ff4e4f618988,,ogly,2022-10-13T18:41:19.000Z,2023-09-07T23:01:23.000Z,Geomatics Yukon,https://yukon.maps.arcgis.com/sharing/rest/content/items/031c289e8f784788a219ff4e4f618988/info/metadata/metadata.xml,"-135.2508,60.5542,-134.8974,60.8524",Yukon,"GeoYukon,Yukon,road,emergency,NG911,911,transportation,Yukon Geological Survey",,,NG911 Roads - Whitehorse,Transport
288,public,City of Whitehorse,mailto:Geomatics.Help@yukon.ca,Geomatics Yukon,Places,,, The PSAP (Public Safety Answering Point) Boundary layer defines the given 911 authority's geographic area for the primary providers of response services for the City of Whitehorse. The primary use for the PSAP Boundary is to route emergency requests. Each PSAP Boundary defines the geographic area of a PSAP that has primary responsibilities for an emergency request. This layer is used by the ECRF (Emergency Call Routing Function) to perform a geographic query to determine the PSAP to which an emergency request is routed. <br><br> Data was modeled using the NENA NG9-1-1 GIS Data Template (NENA-REF-006. 2 -202 2 ).<br><br> Distributed from <a href='https://yukon.ca/geoyukon' style='text-decoration:underline;' rel='nofollow ugc'> GeoYukon</a>  by the <a href='https://yukon.ca/maps' style='text-decoration:underline;' rel='nofollow ugc'> Government of Yukon</a> . Discover more digital map data and interactive maps from Yukon's digital map data collection. <br><br> For more information: <a href='mailto:geomatics.help@yukon.ca' style='text-decoration:underline;' rel='nofollow ugc'> geomatics.help@yukon.ca</a><br><br>,As Needed,,https://yukon.maps.arcgis.com/home/item.html?id=03bf5992756d4c53a1d010a796b45a0d,,ogly,2022-10-13T18:37:47.000Z,2023-09-07T22:59:03.000Z,Geomatics Yukon,https://yukon.maps.arcgis.com/sharing/rest/content/items/03bf5992756d4c53a1d010a796b45a0d/info/metadata/metadata.xml,"-135.3408,60.4824,-134.7399,60.9752",Yukon,"GeoYukon,Yukon,boundary,PSAP,city,whitehorse,city of whitehorse,NG911,911,emergency",,,NG911 PSAP Boundary - Whitehorse,
262,public,Land Planning Branch - Government of Yukon,mailto:Geomatics.Help@yukon.ca,Geomatics Yukon,Places,,," The Land Planning Branch manages subdivision requests anywhere in Yukon, other than Whitehorse or Dawson. In order to divide or reconfigure any privately titled lot a subdivision approval is required. In the creation of new parcels from Yukon land, a subdivision application is made by Land Client Services, Land Management Branch on behalf of the applicant. <br><br> Subdivision applications are typically decided upon within a 90 day timeline. Notification is often provided to property owners in the application area as well as publicly in the form of newspapers. Decisions for approval include conditions which must be followed to receive survey plan approval. Contact subdivision land use planner for more information at <a href='mailto:land.planning@yukon.ca' style='text-decoration:underline;' rel='nofollow ugc'> land.planning@yukon.ca</a> . <br><br> Features shown in this dataset are comprised of the project outlines only and don't represent the proposed parcels or boundary alignments. They are derived from the surveyed parcel fabric or sketches provided by the applicants. This dataset is maintained by the Land Management Branch.<br><br> Distributed from <a href='https://yukon.ca/geoyukon' style='text-decoration:underline;' rel='nofollow ugc'> GeoYukon</a>  by the <a href='https://yukon.ca/maps' style='text-decoration:underline;' rel='nofollow ugc'> Government of Yukon</a> . Discover more digital map data and interactive maps from Yukon's digital map data collection.<br><br> For more information: <a href='mailto:geomatics.help@yukon.ca' style='text-decoration:underline;' rel='nofollow ugc'> geomatics.help@yukon.ca</a><br><br>",As Needed,,https://yukon.maps.arcgis.com/home/item.html?id=04ff4e79ad4046dbabcefd763238bd07,,ogly,2022-02-28T18:56:08.000Z,2022-03-14T15:48:47.000Z,Geomatics Yukon,https://yukon.maps.arcgis.com/sharing/rest/content/items/04ff4e79ad4046dbabcefd763238bd07/info/metadata/metadata.xml,"-138.5450,59.9242,-128.1089,64.1738",Yukon,"Municipality,Zoning,Boundaries,Boundary,GeoYukon,Bylaws,Municipal,Yukon,Subdivision Control,Yukon,Bdry,Yukon Territory,Bylaw,Planning,Canada",,,Subdivision Applications - Historical,"Government and Politics,Society and culture"
248,public,Digital Chart of the World,mailto:Geomatics.Help@yukon.ca,Geomatics Yukon,Places,,,"Ocean captured at 1:1,000,000 scale Digital Chart of the World data for the Yukon and surrounding area.<br><br>Distributed from <a href='https://yukon.ca/geoyukon' rel='nofollow ugc'>GeoYukon</a> by the <a href='https://yukon.ca/maps' rel='nofollow ugc'>Government of Yukon</a>. Discover more digital map data and interactive maps from Yukon's digital map data collection.<br /><br><br>For more information: <a href='mailto:geomatics.help@yukon.ca' rel='nofollow ugc'>geomatics.help@yukon.ca</a><br /><br><br>",As Needed,,https://yukon.maps.arcgis.com/home/item.html?id=0519e28db4d948d5aed3e21a90b83d93,,ogly,2016-06-10T17:49:30.000Z,2021-09-20T17:45:26.000Z,Geomatics Yukon,https://yukon.maps.arcgis.com/sharing/rest/content/items/0519e28db4d948d5aed3e21a90b83d93/info/metadata/metadata.xml,"-149.3690,53.6421,-108.1843,74.3549",Yukon,"Yukon,Waterbody,Hydrology,Sea,Yukon Territory,Ocean,Y.T.,GeoYukon",,,Oceans - 1M,Nature and environment
